,Xgboost (AUROC),Neural Net (AUROC),Difference,Row Index
0,0.86,0.5,-0.36,0
1,0.7822,0.5137,-0.26849999999999996,1
2,0.896,0.63,-0.266,2
3,0.86,0.61,-0.25,3
4,0.762,0.512,-0.25,4
5,0.8881,0.6386,-0.24950000000000006,5
6,0.92,0.68,-0.24,6
7,0.752,0.5137,-0.23829999999999996,7
8,0.835,0.607,-0.22799999999999998,8
9,0.96,0.74,-0.21999999999999997,9
10,0.815,0.612,-0.20299999999999996,10
11,0.774,0.579,-0.19500000000000006,11
12,0.8,0.606,-0.19400000000000006,12
13,0.65,0.46,-0.19,13
14,0.772,0.585,-0.18700000000000006,14
15,0.8033,0.623,-0.18030000000000002,15
16,0.89,0.71,-0.18000000000000005,16
17,0.96,0.78,-0.17999999999999994,17
18,0.6606,0.4828,-0.17779999999999996,18
19,0.9464,0.77,-0.1764,19
20,0.7822,0.6113,-0.17090000000000005,20
21,0.709,0.549,-0.15999999999999992,21
22,0.91,0.752,-0.15800000000000003,22
23,0.9039,0.7465,-0.15739999999999998,23
24,0.869,0.713,-0.15600000000000003,24
25,0.846,0.697,-0.14900000000000002,25
26,0.963,0.816,-0.14700000000000002,26
27,0.805,0.659,-0.14600000000000002,27
28,0.68,0.535,-0.14500000000000002,28
29,0.752,0.6113,-0.14070000000000005,29
30,0.908,0.772,-0.136,30
31,0.98,0.844,-0.136,31
32,0.805,0.673,-0.132,32
33,0.805,0.673,-0.132,33
34,0.6751,0.5431,-0.132,34
35,0.863,0.733,-0.13,35
36,0.8298,0.7013,-0.12849999999999995,36
37,0.982,0.857,-0.125,37
38,0.5235,0.4022,-0.12129999999999996,38
39,0.707,0.586,-0.121,39
40,0.707,0.586,-0.121,40
41,0.7133,0.5949,-0.11840000000000006,41
42,0.85,0.74,-0.10999999999999999,42
43,0.73,0.62,-0.10999999999999999,43
44,0.89,0.782,-0.10799999999999998,44
45,0.7235,0.6216,-0.10189999999999999,45
46,0.592,0.491,-0.10099999999999998,46
47,0.92,0.82,-0.10000000000000009,47
48,0.877,0.777,-0.09999999999999998,48
49,0.807,0.713,-0.09400000000000008,49
50,0.817,0.727,-0.08999999999999997,50
51,0.936,0.847,-0.08900000000000008,51
52,0.667,0.579,-0.08800000000000008,52
53,0.708,0.626,-0.08199999999999996,53
54,0.708,0.626,-0.08199999999999996,54
55,0.78,0.7,-0.08000000000000007,55
56,0.916,0.838,-0.07800000000000007,56
57,0.857,0.783,-0.07399999999999995,57
58,0.829,0.756,-0.07299999999999995,58
59,0.8099,0.7393,-0.0706,59
60,0.7028,0.6322,-0.0706,60
61,0.91,0.84,-0.07000000000000006,61
62,0.736,0.667,-0.06899999999999995,62
63,0.7026,0.634,-0.0686,63
64,0.9039,0.8358,-0.06810000000000005,64
65,0.89,0.822,-0.06800000000000006,65
66,0.6954,0.6275,-0.06790000000000007,66
67,0.843,0.776,-0.06699999999999995,67
68,0.9039,0.8408,-0.06310000000000004,68
69,0.862,0.799,-0.06299999999999994,69
70,0.965,0.903,-0.061999999999999944,70
71,0.724,0.662,-0.061999999999999944,71
72,0.8193,0.7577,-0.06159999999999999,72
73,0.8113,0.7501,-0.06120000000000003,73
74,0.761,0.7,-0.061000000000000054,74
75,0.761,0.7,-0.061000000000000054,75
76,0.71,0.65,-0.05999999999999994,76
77,0.96,0.9,-0.05999999999999994,77
78,0.71,0.65,-0.05999999999999994,78
79,0.84,0.78,-0.05999999999999994,79
80,0.95,0.89,-0.05999999999999994,80
81,0.83,0.77,-0.05999999999999994,81
82,0.787,0.728,-0.05900000000000005,82
83,0.977,0.918,-0.05899999999999994,83
84,0.786,0.728,-0.05800000000000005,84
85,0.882,0.824,-0.05800000000000005,85
86,0.689,0.631,-0.05799999999999994,86
87,0.815,0.757,-0.05799999999999994,87
88,0.785,0.728,-0.05700000000000005,88
89,0.833,0.777,-0.05599999999999994,89
90,0.833,0.777,-0.05599999999999994,90
91,0.83,0.776,-0.05399999999999994,91
92,0.878,0.826,-0.052000000000000046,92
93,0.861,0.809,-0.051999999999999935,93
94,0.8035,0.7531,-0.0504,94
95,0.87,0.82,-0.050000000000000044,95
96,0.8318,0.782,-0.049799999999999955,96
97,1.0,0.9503,-0.049699999999999966,97
98,0.894,0.846,-0.04800000000000004,98
99,0.965,0.919,-0.04599999999999993,99
100,0.7995,0.7568,-0.04269999999999996,100
101,0.791,0.749,-0.04200000000000004,101
102,0.961,0.919,-0.041999999999999926,102
103,0.697,0.655,-0.041999999999999926,103
104,0.805,0.764,-0.041000000000000036,104
105,0.54,0.5,-0.040000000000000036,105
106,0.87,0.83,-0.040000000000000036,106
107,0.65,0.61,-0.040000000000000036,107
108,0.86,0.82,-0.040000000000000036,108
109,0.94,0.9,-0.039999999999999925,109
110,0.968,0.928,-0.039999999999999925,110
111,0.84,0.8,-0.039999999999999925,111
112,0.7995,0.76,-0.03949999999999998,112
113,0.919,0.881,-0.038000000000000034,113
114,0.75,0.712,-0.038000000000000034,114
115,0.7906,0.7538,-0.036799999999999944,115
116,0.994,0.96,-0.03400000000000003,116
117,0.771,0.737,-0.03400000000000003,117
118,0.89,0.856,-0.03400000000000003,118
119,0.64,0.606,-0.03400000000000003,119
120,0.903,0.87,-0.03300000000000003,120
121,0.649,0.616,-0.03300000000000003,121
122,0.737,0.704,-0.03300000000000003,122
123,0.713,0.68,-0.03299999999999992,123
124,0.78,0.748,-0.03200000000000003,124
125,0.625,0.593,-0.03200000000000003,125
126,0.913,0.8817,-0.031299999999999994,126
127,0.827,0.796,-0.030999999999999917,127
128,0.692,0.661,-0.030999999999999917,128
129,0.85,0.82,-0.030000000000000027,129
130,0.85,0.82,-0.030000000000000027,130
131,0.8,0.77,-0.030000000000000027,131
132,0.935,0.905,-0.030000000000000027,132
133,0.79,0.76,-0.030000000000000027,133
134,0.83,0.8,-0.029999999999999916,134
135,0.83,0.8,-0.029999999999999916,135
136,0.866,0.837,-0.029000000000000026,136
137,0.977,0.948,-0.029000000000000026,137
138,0.7637,0.7348,-0.028900000000000037,138
